191,4.96847,353.838,0.716516,-0.00426264
190,5.38434,353.456,0.715439,-0.00418472
,,,,
##### Extended Information,,,,
[Comments],,,,
Sample name,75CS-25E3-water-400uM,,,
Comment,,,,
Username,zga,,,
Division,,,,
Organization,Northwestern University,,,
,,,,
[Detailed Information],,,,
Creation date,10/29/2025 14:35,,,
,,,,
Data array type,Linear data array * 4,,,
Horizontal axis,Wavelength [nm],,,
Vertical axis(1),CD [mdeg],,,
Vertical axis(2),HT [V],,,
Vertical axis(3),Abs,,,
Vertical axis(4),LD [dOD],,,
Start,280 nm,,,
End,190 nm,,,
Data interval,1 nm,,,
Data points,91,,,
,,,,
[Measurement Information],,,,
Instrument name,J-1700,,,
Model name,J-1700,,,
Serial No.,G004761900,,,
,,,,
Detector,PM-539,,,
Detector S/N,G004761900,,,
  Lock-in amp.,X mode,,,
  HT volt,Auto,,,
  Unit 1,PM-539/G004761900, HT volt Auto,,
  Unit 2,EXIG-543/G004761900, Gain x100,,
  Unit 3,EXIG-542/G004761900, Gain x100,,
  Change at,D1: 800 nm, D2: 1600 nm,,
,,,,
Accessory,PTC-517,,,
Accessory S/N,D046561646,,,
  Temperature,22.15 C,,,
  Control sensor,Holder,,,
  Monitor sensor,Holder,,,
,,,,
Measurement date,10/29/2025 14:35,,,
,,,,
Photometric mode,CD, HT, Abs, LD
Measure range,280 - 190 nm,,,
Data pitch,1 nm,,,
CD scale,200 mdeg/0.1 dOD,,,
FL scale,200 mdeg/0.1 dOD,,,
D.I.T.,4 sec,,,
NIR D.I.T.,1 sec,,,
Bandwidth,2.00 nm,,,
NIR bandwidth,5.0 nm,,,
Start mode,Immediately,,,
Scanning mode,Step,,,
Baseline correction,Baseline,,,
Shutter control,Auto,,,
Change source at,800 nm,,,
Change grating at,1600 nm,,,
No. of cycle,1-Jan,,,
N2 Flowmeter,Manual,,,
,,,,
Concentration,400 umol/L,,,
Solvent,water,,,
